eta_multiplier,effective_eta,L_constant,n_dim,num_starts,avg_iters,std_iters
0.2,0.04046545687596327,4.942487134472494,2,5,100000.0,0.0
0.2,0.057401508768096035,3.484228973980571,2,5,100000.0,0.0
0.2,0.05856867867157139,3.414794469267716,2,5,100000.0,0.0
0.2,0.04200152991348811,4.761731308643909,2,5,100000.0,0.0
0.2,0.07681996957645024,2.603489705902091,2,5,100000.0,0.0
0.2,0.08428326958374695,2.372950183206558,2,5,100000.0,0.0
0.2,0.05308510665713012,3.7675350506833167,2,5,100000.0,0.0
0.2,0.04282951633832208,4.669676828011441,2,5,100000.0,0.0
0.2,0.048811076345673485,4.097430644299398,2,5,100000.0,0.0
0.2,0.047069973235142906,4.2489932807244095,2,5,100000.0,0.0
0.5,0.10116364218990818,4.942487134472494,2,5,100000.0,0.0
0.5,0.14350377192024008,3.484228973980571,2,5,100000.0,0.0
0.5,0.14642169667892846,3.414794469267716,2,5,100000.0,0.0
0.5,0.10500382478372026,4.761731308643909,2,5,100000.0,0.0
0.5,0.19204992394112558,2.603489705902091,2,5,100000.0,0.0
0.5,0.21070817395936733,2.372950183206558,2,5,100000.0,0.0
0.5,0.1327127666428253,3.7675350506833167,2,5,100000.0,0.0
0.5,0.10707379084580519,4.669676828011441,2,5,100000.0,0.0
0.5,0.1220276908641837,4.097430644299398,2,5,100000.0,0.0
0.5,0.11767493308785726,4.2489932807244095,2,5,100000.0,0.0
1.0,0.20232728437981637,4.942487134472494,2,5,100000.0,0.0
1.0,0.28700754384048016,3.484228973980571,2,5,100000.0,0.0
1.0,0.2928433933578569,3.414794469267716,2,5,100000.0,0.0
1.0,0.21000764956744053,4.761731308643909,2,5,100000.0,0.0
1.0,0.38409984788225116,2.603489705902091,2,5,100000.0,0.0
1.0,0.42141634791873467,2.372950183206558,2,5,100000.0,0.0
1.0,0.2654255332856506,3.7675350506833167,2,5,100000.0,0.0
1.0,0.21414758169161038,4.669676828011441,2,5,100000.0,0.0
1.0,0.2440553817283674,4.097430644299398,2,5,100000.0,0.0
1.0,0.23534986617571452,4.2489932807244095,2,5,100000.0,0.0
2.0,0.40465456875963274,4.942487134472494,2,5,100000.0,0.0
2.0,0.5740150876809603,3.484228973980571,2,5,100000.0,0.0
2.0,0.5856867867157138,3.414794469267716,2,5,100000.0,0.0
2.0,0.42001529913488106,4.761731308643909,2,5,100000.0,0.0
2.0,0.7681996957645023,2.603489705902091,2,5,100000.0,0.0
2.0,0.8428326958374693,2.372950183206558,2,5,100000.0,0.0
2.0,0.5308510665713012,3.7675350506833167,2,5,100000.0,0.0
2.0,0.42829516338322077,4.669676828011441,2,5,100000.0,0.0
2.0,0.4881107634567348,4.097430644299398,2,5,100000.0,0.0
2.0,0.47069973235142903,4.2489932807244095,2,5,100000.0,0.0
5.0,1.0116364218990819,4.942487134472494,2,5,100000.0,0.0
5.0,1.4350377192024009,3.484228973980571,2,5,100000.0,0.0
5.0,1.4642169667892846,3.414794469267716,2,5,100000.0,0.0
5.0,1.0500382478372026,4.761731308643909,2,5,100000.0,0.0
5.0,1.9204992394112557,2.603489705902091,2,5,100000.0,0.0
5.0,2.1070817395936734,2.372950183206558,2,5,100000.0,0.0
5.0,1.327127666428253,3.7675350506833167,2,5,100000.0,0.0
5.0,1.070737908458052,4.669676828011441,2,5,100000.0,0.0
5.0,1.220276908641837,4.097430644299398,2,5,100000.0,0.0
5.0,1.1767493308785726,4.2489932807244095,2,5,100000.0,0.0
10.0,2.0232728437981637,4.942487134472494,2,5,100000.0,0.0
10.0,2.8700754384048017,3.484228973980571,2,5,100000.0,0.0
10.0,2.928433933578569,3.414794469267716,2,5,100000.0,0.0
10.0,2.100076495674405,4.761731308643909,2,5,100000.0,0.0
10.0,3.8409984788225113,2.603489705902091,2,5,100000.0,0.0
10.0,4.214163479187347,2.372950183206558,2,5,100000.0,0.0
10.0,2.654255332856506,3.7675350506833167,2,5,100000.0,0.0
10.0,2.141475816916104,4.669676828011441,2,5,100000.0,0.0
10.0,2.440553817283674,4.097430644299398,2,5,100000.0,0.0
10.0,2.353498661757145,4.2489932807244095,2,5,100000.0,0.0
100.0,20.232728437981635,4.942487134472494,2,5,100000.0,0.0
100.0,28.700754384048015,3.484228973980571,2,5,100000.0,0.0
100.0,29.284339335785692,3.414794469267716,2,5,100000.0,0.0
100.0,21.000764956744053,4.761731308643909,2,5,100000.0,0.0
100.0,38.40998478822512,2.603489705902091,2,5,100000.0,0.0
100.0,42.14163479187347,2.372950183206558,2,5,100000.0,0.0
100.0,26.54255332856506,3.7675350506833167,2,5,100000.0,0.0
100.0,21.414758169161036,4.669676828011441,2,5,100000.0,0.0
100.0,24.405538172836742,4.097430644299398,2,5,100000.0,0.0
100.0,23.53498661757145,4.2489932807244095,2,5,100000.0,0.0
